from_pieza_serial,to_pieza_serial,lado
RC001-P01-01,RC001-P01-02,derecha
RC001-P01-02,RC001-P01-03,derecha
RC001-P01-03,RC001-P01-04,derecha
RC001-P01-04,RC001-P01-05,derecha
RC001-P01-05,RC001-P01-06,derecha
RC001-P02-01,RC001-P02-02,derecha
RC001-P02-02,RC001-P02-03,derecha
RC001-P02-03,RC001-P02-04,derecha
RC001-P02-04,RC001-P02-05,derecha
RC001-P02-05,RC001-P02-06,derecha
RC001-P03-01,RC001-P03-02,derecha
RC001-P03-02,RC001-P03-03,derecha
RC001-P03-03,RC001-P03-04,derecha
RC001-P03-04,RC001-P03-05,derecha
RC001-P03-05,RC001-P03-06,derecha
RC001-P04-01,RC001-P04-02,derecha
RC001-P04-02,RC001-P04-03,derecha
RC001-P04-03,RC001-P04-04,derecha
RC001-P04-04,RC001-P04-05,derecha
RC001-P04-05,RC001-P04-06,derecha
RC001-P01-01,RC001-P02-01,abajo
RC001-P01-02,RC001-P02-02,abajo
RC001-P01-03,RC001-P02-03,abajo
RC001-P01-04,RC001-P02-04,abajo
RC001-P01-05,RC001-P02-05,abajo
RC001-P01-06,RC001-P02-06,abajo
RC001-P02-01,RC001-P03-01,abajo
RC001-P02-02,RC001-P03-02,abajo
RC001-P02-03,RC001-P03-03,abajo
RC001-P02-04,RC001-P03-04,abajo
RC001-P02-05,RC001-P03-05,abajo
RC001-P02-06,RC001-P03-06,abajo
RC001-P03-01,RC001-P04-01,abajo
RC001-P03-02,RC001-P04-02,abajo
RC001-P03-03,RC001-P04-03,abajo
RC001-P03-04,RC001-P04-04,abajo
RC001-P03-05,RC001-P04-05,abajo
RC001-P03-06,RC001-P04-06,abajo
RC002-P01-01,RC002-P01-02,derecha
RC002-P01-02,RC002-P01-03,derecha
RC002-P01-03,RC002-P01-04,derecha
RC002-P01-04,RC002-P01-05,derecha
RC002-P01-05,RC002-P01-06,derecha
RC002-P02-01,RC002-P02-02,derecha
RC002-P02-02,RC002-P02-03,derecha
RC002-P02-03,RC002-P02-04,derecha
RC002-P02-04,RC002-P02-05,derecha
RC002-P02-05,RC002-P02-06,derecha
RC002-P03-01,RC002-P03-02,derecha
RC002-P03-02,RC002-P03-03,derecha
RC002-P03-03,RC002-P03-04,derecha
RC002-P03-04,RC002-P03-05,derecha
RC002-P03-05,RC002-P03-06,derecha
RC002-P04-01,RC002-P04-02,derecha
RC002-P04-02,RC002-P04-03,derecha
RC002-P04-03,RC002-P04-04,derecha
RC002-P04-04,RC002-P04-05,derecha
RC002-P04-05,RC002-P04-06,derecha
RC002-P01-01,RC002-P02-01,abajo
RC002-P01-02,RC002-P02-02,abajo
RC002-P01-03,RC002-P02-03,abajo
RC002-P01-04,RC002-P02-04,abajo
RC002-P01-05,RC002-P02-05,abajo
RC002-P01-06,RC002-P02-06,abajo
RC002-P02-01,RC002-P03-01,abajo
RC002-P02-02,RC002-P03-02,abajo
RC002-P02-03,RC002-P03-03,abajo
RC002-P02-04,RC002-P03-04,abajo
RC002-P02-05,RC002-P03-05,abajo
RC002-P02-06,RC002-P03-06,abajo
RC002-P03-01,RC002-P04-01,abajo
RC002-P03-02,RC002-P04-02,abajo
RC002-P03-03,RC002-P04-03,abajo
RC002-P03-04,RC002-P04-04,abajo
RC002-P03-05,RC002-P04-05,abajo
RC002-P03-06,RC002-P04-06,abajo
RC003-P01-01,RC003-P01-02,derecha
RC003-P01-02,RC003-P01-03,derecha
RC003-P01-03,RC003-P01-04,derecha
RC003-P01-04,RC003-P01-05,derecha
RC003-P01-05,RC003-P01-06,derecha
RC003-P02-01,RC003-P02-02,derecha
RC003-P02-02,RC003-P02-03,derecha
RC003-P02-03,RC003-P02-04,derecha
RC003-P02-04,RC003-P02-05,derecha
RC003-P02-05,RC003-P02-06,derecha
RC003-P03-01,RC003-P03-02,derecha
RC003-P03-02,RC003-P03-03,derecha
RC003-P03-03,RC003-P03-04,derecha
RC003-P03-04,RC003-P03-05,derecha
RC003-P03-05,RC003-P03-06,derecha
RC003-P04-01,RC003-P04-02,derecha
RC003-P04-02,RC003-P04-03,derecha
RC003-P04-03,RC003-P04-04,derecha
