pieza_serial,figura_serial
RC005-P01,RC005-F1
RC005-P02,RC005-F1
RC005-P03,RC005-F1
RC005-P04,RC005-F2
RC005-P05,RC005-F2
RC005-P06,RC005-F3
RC007-P01,RC007-F1
RC007-P02,RC007-F1
RC007-P03,RC007-F1
RC007-P04,RC007-F1
RC007-P05,RC007-F1
RC007-P06,RC007-F2
RC007-P07,RC007-F2
RC007-P08,RC007-F3
RC007-P09,RC007-F3
RC007-P10,RC007-F3
RC007-P11,RC007-F3
RC007-P12,RC007-F3
RC007-P13,RC007-F3
RC007-P14,RC007-F3
RC008-P01,RC008-F1
RC008-P02,RC008-F1
RC008-P03,RC008-F1
RC008-P04,RC008-F2
RC008-P05,RC008-F2
RC008-P06,RC008-F2
RC008-P07,RC008-F2
RC008-P08,RC008-F3
RC008-P09,RC008-F3
RC008-P10,RC008-F3
RC008-P11,RC008-F3
RC008-P12,RC008-F3
RC008-P13,RC008-F3
