pieza_id,rompecabezas_id
RC001-P01-01,RC001
RC001-P01-02,RC001
RC001-P01-03,RC001
RC001-P01-04,RC001
RC001-P01-05,RC001
RC001-P01-06,RC001
RC001-P02-01,RC001
RC001-P02-02,RC001
RC001-P02-03,RC001
RC001-P02-04,RC001
RC001-P02-05,RC001
RC001-P02-06,RC001
RC001-P03-01,RC001
RC001-P03-02,RC001
RC001-P03-03,RC001
RC001-P03-04,RC001
RC001-P03-05,RC001
RC001-P03-06,RC001
RC001-P04-01,RC001
RC001-P04-02,RC001
RC001-P04-03,RC001
RC001-P04-04,RC001
RC001-P04-05,RC001
RC001-P04-06,RC001
RC002-P01-01,RC002
RC002-P01-02,RC002
RC002-P01-03,RC002
RC002-P01-04,RC002
RC002-P01-05,RC002
RC002-P01-06,RC002
RC002-P02-01,RC002
RC002-P02-02,RC002
RC002-P02-03,RC002
RC002-P02-04,RC002
RC002-P02-05,RC002
RC002-P02-06,RC002
RC002-P03-01,RC002
RC002-P03-02,RC002
RC002-P03-03,RC002
RC002-P03-04,RC002
RC002-P03-05,RC002
RC002-P03-06,RC002
RC002-P04-01,RC002
RC002-P04-02,RC002
RC002-P04-03,RC002
RC002-P04-04,RC002
RC002-P04-05,RC002
RC002-P04-06,RC002
RC003-P01-01,RC003
RC003-P01-02,RC003
RC003-P01-03,RC003
RC003-P01-04,RC003
RC003-P01-05,RC003
RC003-P01-06,RC003
RC003-P02-01,RC003
RC003-P02-02,RC003
RC003-P02-03,RC003
RC003-P02-04,RC003
RC003-P02-05,RC003
RC003-P02-06,RC003
RC003-P03-01,RC003
RC003-P03-02,RC003
RC003-P03-03,RC003
RC003-P03-04,RC003
RC003-P03-05,RC003
RC003-P03-06,RC003
RC003-P04-01,RC003
RC003-P04-02,RC003
RC003-P04-03,RC003
RC003-P04-04,RC003
RC003-P04-05,RC003
RC003-P04-06,RC003
RC004-P01-01,RC004
RC004-P01-02,RC004
RC004-P01-03,RC004
RC004-P01-04,RC004
RC004-P01-05,RC004
RC004-P01-06,RC004
RC004-P02-01,RC004
RC004-P02-02,RC004
RC004-P02-03,RC004
RC004-P02-04,RC004
RC004-P02-05,RC004
RC004-P02-06,RC004
RC004-P03-01,RC004
RC004-P03-02,RC004
RC004-P03-03,RC004
RC004-P03-04,RC004
RC004-P03-05,RC004
RC004-P03-06,RC004
RC004-P04-01,RC004
RC004-P04-02,RC004
RC004-P04-03,RC004
RC004-P04-04,RC004
RC004-P04-05,RC004
RC004-P04-06,RC004
RC005-P01,RC005
RC005-P02,RC005
RC005-P03,RC005
RC005-P04,RC005
RC005-P05,RC005
RC005-P06,RC005
RC006-P01,RC006
RC006-P02,RC006
RC006-P03,RC006
RC006-P04,RC006
RC006-P05,RC006
RC006-P06,RC006
RC006-P07,RC006
RC006-P08,RC006
RC006-P09,RC006
RC006-P10,RC006
RC007-P01,RC007
RC007-P02,RC007
RC007-P03,RC007
RC007-P04,RC007
RC007-P05,RC007
RC007-P06,RC007
RC007-P07,RC007
RC007-P08,RC007
RC007-P09,RC007
RC007-P10,RC007
RC007-P11,RC007
RC007-P12,RC007
RC007-P13,RC007
RC007-P14,RC007
RC008-P01,RC008
RC008-P02,RC008
RC008-P03,RC008
RC008-P04,RC008
RC008-P05,RC008
RC008-P06,RC008
RC008-P07,RC008
RC008-P08,RC008
RC008-P09,RC008
RC008-P10,RC008
RC008-P11,RC008
RC008-P12,RC008
RC008-P13,RC008
