serial,rompecabezas_serial,tipo,forma,presente,descripcion,fila,columna,numero,lado_arriba,lado_abajo,lado_izquierda,lado_derecha
RC001-P01-01,RC001,esquina,rectangular,true,Esquina superior izquierda - árbol,1,1,,plano,abertura,plano,abertura
RC001-P01-02,RC001,borde,rectangular,true,"Pieza (1,2)",1,2,,plano,abertura,saliente,saliente
RC001-P01-03,RC001,borde,rectangular,true,"Pieza (1,3)",1,3,,plano,saliente,abertura,saliente
RC001-P01-04,RC001,borde,rectangular,true,"Pieza (1,4)",1,4,,plano,saliente,abertura,saliente
RC001-P01-05,RC001,borde,rectangular,true,"Pieza (1,5)",1,5,,plano,abertura,abertura,abertura
RC001-P01-06,RC001,esquina,rectangular,true,Esquina superior derecha - cielo,1,6,,plano,saliente,saliente,plano
RC001-P02-01,RC001,borde,rectangular,true,"Pieza (2,1)",2,1,,saliente,saliente,plano,abertura
RC001-P02-02,RC001,interior,rectangular,true,"Pieza (2,2)",2,2,,saliente,saliente,saliente,abertura
RC001-P02-03,RC001,interior,rectangular,true,Cabeza del zorro principal,2,3,,abertura,abertura,saliente,saliente
RC001-P02-04,RC001,interior,rectangular,true,"Pieza (2,4)",2,4,,abertura,abertura,abertura,saliente
RC001-P02-05,RC001,interior,rectangular,true,Panda con bufanda,2,5,,saliente,abertura,abertura,saliente
RC001-P02-06,RC001,borde,rectangular,true,"Pieza (2,6)",2,6,,abertura,abertura,abertura,plano
RC001-P03-01,RC001,borde,rectangular,true,Cerdito con bufanda,3,1,,abertura,abertura,plano,saliente
RC001-P03-02,RC001,interior,rectangular,true,"Pieza (3,2)",3,2,,abertura,abertura,abertura,abertura
RC001-P03-03,RC001,interior,rectangular,true,Bufanda del zorro,3,3,,saliente,saliente,saliente,saliente
RC001-P03-04,RC001,interior,rectangular,true,"Pieza (3,4)",3,4,,saliente,abertura,abertura,saliente
RC001-P03-05,RC001,interior,rectangular,true,"Pieza (3,5)",3,5,,saliente,abertura,abertura,abertura
RC001-P03-06,RC001,borde,rectangular,true,Mapache con bufanda,3,6,,saliente,abertura,saliente,plano
RC001-P04-01,RC001,esquina,rectangular,true,Esquina inferior izquierda - pasto,4,1,,saliente,plano,plano,abertura
RC001-P04-02,RC001,borde,rectangular,true,"Pieza (4,2)",4,2,,saliente,plano,saliente,saliente
RC001-P04-03,RC001,borde,rectangular,true,"Pieza (4,3)",4,3,,abertura,plano,abertura,abertura
RC001-P04-04,RC001,borde,rectangular,true,"Pieza (4,4)",4,4,,saliente,plano,saliente,abertura
RC001-P04-05,RC001,borde,rectangular,true,"Pieza (4,5)",4,5,,saliente,plano,saliente,saliente
RC001-P04-06,RC001,esquina,rectangular,true,Esquina inferior derecha - arbusto,4,6,,saliente,plano,abertura,plano
RC002-P01-01,RC002,esquina,rectangular,true,"Pieza (1,1)",1,1,,plano,saliente,plano,abertura
RC002-P01-02,RC002,borde,rectangular,true,"Pieza (1,2)",1,2,,plano,saliente,saliente,abertura
RC002-P01-03,RC002,borde,rectangular,true,Cielo prehistórico,1,3,,plano,abertura,saliente,abertura
RC002-P01-04,RC002,borde,rectangular,true,"Pieza (1,4)",1,4,,plano,abertura,saliente,saliente
RC002-P01-05,RC002,borde,rectangular,true,"Pieza (1,5)",1,5,,plano,abertura,abertura,saliente
RC002-P01-06,RC002,esquina,rectangular,true,"Pieza (1,6)",1,6,,plano,abertura,abertura,plano
RC002-P02-01,RC002,borde,rectangular,true,"Pieza (2,1)",2,1,,abertura,abertura,plano,saliente
RC002-P02-02,RC002,interior,rectangular,true,"Pieza (2,2)",2,2,,abertura,abertura,abertura,saliente
RC002-P02-03,RC002,interior,rectangular,true,T-Rex rugiendo,2,3,,saliente,saliente,abertura,saliente
RC002-P02-04,RC002,interior,rectangular,true,"Pieza (2,4)",2,4,,saliente,saliente,abertura,saliente
RC002-P02-05,RC002,interior,rectangular,true,Pterodáctilo volando,2,5,,saliente,saliente,abertura,saliente
RC002-P02-06,RC002,borde,rectangular,true,"Pieza (2,6)",2,6,,saliente,saliente,abertura,plano
RC002-P03-01,RC002,borde,rectangular,true,"Pieza (3,1)",3,1,,saliente,saliente,plano,abertura
