from_pieza_serial,to_pieza_serial
RC006-P01,RC006-P02
RC006-P02,RC006-P03
RC006-P03,RC006-P04
RC006-P04,RC006-P05
RC006-P05,RC006-P06
RC006-P06,RC006-P07
RC006-P07,RC006-P08
RC006-P08,RC006-P09
RC006-P09,RC006-P10
RC007-P01,RC007-P02
RC007-P02,RC007-P03
RC007-P03,RC007-P04
RC007-P04,RC007-P05
RC007-P06,RC007-P07
RC007-P08,RC007-P09
RC007-P09,RC007-P10
RC007-P10,RC007-P11
RC007-P11,RC007-P12
RC007-P12,RC007-P13
RC007-P13,RC007-P14
RC008-P01,RC008-P02
RC008-P02,RC008-P03
RC008-P04,RC008-P05
RC008-P05,RC008-P06
RC008-P06,RC008-P07
RC008-P08,RC008-P09
RC008-P09,RC008-P10
RC008-P10,RC008-P11
RC008-P11,RC008-P12
RC008-P12,RC008-P13
